"Detector","Year","Doctype","Publisher","Venue","Title","Citations","Altmetric","Tips","Tortured Phrases","Assessor","PubPeer Users"
"tortured","2020","article","Springer Nature","Wireless Personal Communications","Optimized Energy Aware Routing Based on Suitable Based Antlion Group with Advanced Algorithm (SA-AOA) in Wireless Sensor Network","3","0","16","arbitrary strolls • directing convention • enhancement calculation AND optimiz* • focal preparing unit • hereditary calculation • irregular strolls • irregular walks • leftover vitality • malevolent hub • molecule swarm • self sorting out • steering convention • vitality effective • vitality product...","Cabanac","Alexander Magazinov"
"tortured","2019","chapter","Springer Nature","Proceedings of International Conference on Computational Intelligence and Data Engineering","Alzheimer’s Ailment Prediction Using Neuroimage Based on Machine Learning Methods","0","0","11","Alzheimer's ailment • Alzheimer's malady • Alzheimer's sickness • attractive reverberation • counterfeit neural • examination of fluctuation (ANOVA) • figured tomography • help vector machine • hereditary calculation • positron discharge tomography • processed tomography (CT)","Cabanac","Guillaume Cabanac"
"tortured","2022","chapter","Wiley","Artificial Intelligent Techniques for Wireless Communication and Networking","EIDR Umpiring Security Models for Wireless Sensor Networks","0","0","8","directing convention • hereditary calculation • hub assault • man in the center • molecule swarm • pernicious hub • populace size • steering convention","Cabanac","Guillaume Cabanac"
"tortured","2021","article","Elsevier","Materials Today Proceedings","Analysis of bosom malignancy using supervised machine learning classifier","0","0","8","ROC twist • arbitrary timberland • bosom malignancy • chest peril • goof rate • gullible Bayes • ladies' ruins • profound neural organization","Cabanac","Elisabeth M Bik"
"tortured","2021","chapter","Springer Nature","Soft Computing: Theories and Applications","Support Vector Machine Technique to Prognosis Breast Cancer","0","0","8","attractive reverberation • backing vector machine • bogus negative (FN) • bogus positive (FP) • bosom malignancy • genuine negative (TN) • genuine positive (TP) • kindhearted tumor","Cabanac","Guillaume Cabanac"
"tortured","2021","proceeding","Institute of Electrical and Electronics Engineers (IEEE)","2021 7th International Conference on Advanced Computing and Communication Systems (ICACCS)","Diagnosing Chronic Kidney Disease using KNN Algorithm","0","0","8","bogus negative (FN) • bogus positive (FP) • calculated relapse • genuine negative (TN) • guileless Bayes • persistent kidney sickness • shrouded layer • yield layer AND neural","Cabanac","Guillaume Cabanac"
"tortured","2021","proceeding","Institute of Electrical and Electronics Engineers (IEEE)","2021 5th International Conference on Trends in Electronics and Informatics (ICOEI)","An Enhanced Predictive Health Care Analytics in Data Mining Techniques for Chronic Kidney Diseases","0","2","8","calculated relapse • concealed layer • fake neural • innocent Bayes • kidney disappointment • persistent kidney sickness • shrouded layer • yield layer AND neural","Cabanac","Guillaume Cabanac"
"tortured","2020","chapter","IGI Global","Forensic Investigations and Risk Management in Mobile and Wireless Communications","Substantiation of Vulnerabilities in Various Secure Routing Protocols of MANET","1","0","8","directing convention • hub assault • malignant hub • middle of the road hub • noxious hub • pernicious hub • steering convention • versatile hub","Cabanac","Guillaume Cabanac"
"tortured","2020","proceeding","Institute of Electrical and Electronics Engineers (IEEE)","2020 International Conference on Smart Innovations in Design, Environment, Management, Planning and Computing (ICSIDEMPC)","A new Approach of Heart Disease Prediction system using Data Science","0","0","8","arbitrary woodland • back spread AND neural • bolster vector machine • calculated relapse • cardiovascular breakdown • guileless Bayes • innocent Bayes • sincere Bayesian","Cabanac","Guillaume Cabanac"
"tortured","2019","proceeding","Institute of Electrical and Electronics Engineers (IEEE)","2019 1st International Conference on Innovations in Information and Communication Technology (ICIICT)","Green Leaf Disease detection Using Raspberry pi","3","0","8","as pursues • back engendering AND neural • back proliferation AND neural • creating nations • disarray network • district of intrigue • help vector machine • k-implies grouping","Cabanac","Guillaume Cabanac"
"tortured","2016","proceeding","Institute of Electrical and Electronics Engineers (IEEE)","2016 International Conference on Communication and Electronics Systems (ICCES)","Prediction Model Based on Improved Particle Swarm Optimization Algorithm Analysis and its Application Scenario Building","1","0","8","concealed layer • counterfeit neural • mean outright blunder • molecule swarm • populace size • prescient quality • shrouded layer • yield layer AND neural","Cabanac","N. H. Wise"
"tortured","2022","chapter","Springer Nature","Technology Enabled Ergonomic Design","A Survey on Early Prediction of Autism Spectrum Disorder Using Supervised Machine Learning Methods","0","0","7","arbitrary timberland • blunder rate • calculated relapse • counterfeit neural • discourse acknowledgement OR discourse acknowledgment • irregular woodland • squared blunder","Invitation for human assessors","–"
"tortured","2021","article","IOP Publishing","Journal of Physics Conference Series","Feeling Recognition by Facial Expression Using Deep Learning","0","0","7","back spread AND neural • concealed layer • counterfeit neural • disarray lattice • disarray network • shrouded layer • yield layer AND neural","Cabanac","Guillaume Cabanac"
"tortured","2021","proceeding","AIP Publishing","AIP Conference Proceedings","Casson fluid flow past a porous medium with heat source in the presence of an inclined magnetic field","0","0","7","corridor impact AND (magnetic OR voltage OR sensor) • electrically directing • electrically leading liquid • ordinary to the plate • slanted attractive field • warmth move • warmth source","Cabanac","Guillaume Cabanac"
"tortured","2020","chapter","IGI Global","Big Data Analytics for Sustainable Computing","Big Data Analytics in the Healthcare Industry","0","0","7","computerized reasoning • electronic wellbeing records • figured tomography • information distribution center • information stockroom • positron discharge tomography • registered tomography","Cabanac","Guillaume Cabanac"
"tortured","2020","chapter","Springer Nature","Nanoelectronics, Circuits and Communication Systems","Prediction and Classification of Semi-structured Medical Data Using Artificial Neural Fuzzy Inference System","0","0","7","bolster vector machine • bosom malignancy • computerized reasoning • concealed layer • counterfeit neural • credulous Bayes • shrouded layer","Cabanac","Guillaume Cabanac"
"tortured","2020","chapter","Springer Nature","Advances in Data Science and Management","A Framework of Dimensionality Reduction Utilizing PCA for Neural Network Prediction","3","0","7","concealed layer • dimensionality decrease • discourse acknowledgement OR discourse acknowledgment • fake neural • irregular esteem • shrouded layer • yield layer AND neural","Cabanac","Guillaume Cabanac"
"tortured","2020","proceeding","Institute of Electrical and Electronics Engineers (IEEE)","2020 International Congress on Human-Computer Interaction, Optimization and Robotic Applications (HORA)","Hybrid Method Using EDMS & Gabor for Shape and Texture","18","0","7","arbitrary backwoods • arbitrary timberland • arbitrary woodland • back spread AND neural • computerized reasoning • irregular timberland • irregular woodland","Cabanac","N. H. Wise, Alaa Hamid Mohammed, Hoya Camphorifolia"
"tortured","2020","proceeding","ZIbeline International Publishing","ETHICS AND INFORMATION TECHNOLOGY","JOINT WEATHER PREDICTING BY HMM AND ANN","6","0","7","as pursues • concealed layer • counterfeit neural • fake neural • shrouded layer • square mistake • yield layer AND neural","Cabanac","Guillaume Cabanac"
"tortured","2019","chapter","Springer Nature","First International Conference on Sustainable Technologies for Computational Intelligence","Implementation of a Markov Model for the Analysis of Parkinson’s Disease","1","1","7","Alzheimer's ailment • Huntington's infection • Parkinson's ailment • Parkinson's infection • Parkinson's malady • Parkinson's sickness • as pursues","Cabanac","N. H. Wise"
"tortured","2019","chapter","Springer Nature","Recent Trends and Advances in Artificial Intelligence and Internet of Things","Bayesian Neural Networks of Probabilistic Back Propagation for Scalable Learning on Hyper-Parameters","0","0","7","back engendering AND neural • back proliferation AND neural • back spread AND neural • concealed layer • k-implies bunching • shrouded layer • yield layer AND neural","Invitation for human assessors","–"
